sale_date,gross_sales_amount,return_offset_amount,net_sales_amount,prop_gross_sales_amount,prop_return_offset_amount,prop_net_sales_amount,all_goods_net_sales_amount,flow_sales_related_actual_money,flow_sales_related_cash_money,flow_sales_actual_money,flow_exchange_actual_money,flow_return_actual_money,flow_stored_value_actual_money,gross_sales_qty,return_offset_qty,net_sales_qty,core_order_count,all_goods_order_count,is_trusted_core_sales,cash_scope
2025-05-09,1567.01,-179.69,1387.32,76.68,0.0,76.68,1464.0,1464.0,1464.0,1464.0,0.0,0.0,0.0,22,-1,21,8,8,True,销售/换货/退货现金回款（含道具）
2025-05-10,4575.0,-504.0,4071.0,0.0,0.0,0.0,4071.0,4071.0,4071.0,4575.0,0.0,-504.0,0.0,46,-3,43,21,21,True,销售/换货/退货现金回款（含道具）
2025-05-11,2187.14,0.0,2187.14,225.86,0.0,225.86,2413.0,2413.0,2413.0,2413.0,0.0,0.0,0.0,32,0,32,12,12,True,销售/换货/退货现金回款（含道具）
2025-05-12,305.06,-161.06,144.0,0.0,0.0,0.0,144.0,144.0,144.0,144.0,0.0,0.0,0.0,5,-2,3,3,3,True,销售/换货/退货现金回款（含道具）
2025-05-13,2194.0,-129.0,2065.0,0.0,0.0,0.0,2065.0,2065.0,2065.0,2065.0,0.0,0.0,0.0,30,-3,27,11,11,True,销售/换货/退货现金回款（含道具）
2025-05-14,1113.0,0.0,1113.0,0.0,0.0,0.0,1113.0,1113.0,1113.0,1113.0,0.0,0.0,0.0,15,0,15,7,7,True,销售/换货/退货现金回款（含道具）
2025-05-15,2319.0,0.0,2319.0,0.0,0.0,0.0,2319.0,2319.0,2319.0,2319.0,0.0,0.0,0.0,32,0,32,10,10,True,销售/换货/退货现金回款（含道具）
2025-05-16,1529.0,0.0,1529.0,0.0,0.0,0.0,1529.0,1529.0,1529.0,1529.0,0.0,0.0,0.0,17,0,17,7,7,True,销售/换货/退货现金回款（含道具）
2025-05-17,1835.0,0.0,1835.0,0.0,0.0,0.0,1835.0,1835.0,1835.0,1835.0,0.0,0.0,0.0,32,0,32,12,12,True,销售/换货/退货现金回款（含道具）
2025-05-18,3166.6,-786.6,2380.0,0.0,0.0,0.0,2380.0,2380.0,2380.0,2746.0,90.0,-456.0,0.0,42,-6,36,17,17,True,销售/换货/退货现金回款（含道具）
2025-05-19,1802.0,0.0,1802.0,0.0,0.0,0.0,1802.0,1802.0,1802.0,1802.0,0.0,0.0,0.0,26,0,26,9,9,True,销售/换货/退货现金回款（含道具）
2025-05-20,1311.0,0.0,1311.0,0.0,0.0,0.0,1311.0,1311.0,1311.0,1311.0,0.0,0.0,0.0,18,0,18,6,6,True,销售/换货/退货现金回款（含道具）
2025-05-21,1408.0,0.0,1408.0,0.0,0.0,0.0,1408.0,1408.0,1408.0,1408.0,0.0,0.0,0.0,12,0,12,6,6,True,销售/换货/退货现金回款（含道具）
2025-05-22,1723.34,-349.34,1374.0,0.0,0.0,0.0,1374.0,1374.0,1374.0,1374.0,0.0,0.0,0.0,21,-2,19,9,9,True,销售/换货/退货现金回款（含道具）
2025-05-23,1954.88,-97.88,1857.0,0.0,0.0,0.0,1857.0,1857.0,1857.0,1847.0,10.0,0.0,0.0,24,-1,23,11,11,True,销售/换货/退货现金回款（含道具）
2025-05-24,6017.0,-312.0,5705.0,0.0,0.0,0.0,5705.0,5705.0,5114.0,6017.0,0.0,-312.0,1288.0,109,-4,105,36,36,True,销售/换货/退货现金回款（含道具）
2025-05-25,10721.56,-1675.81,9045.75,348.25,0.0,348.25,9394.0,9394.0,6479.0,10955.0,20.0,-1581.0,5240.0,157,-18,139,42,42,True,销售/换货/退货现金回款（含道具）
2025-05-26,1197.0,-98.0,1099.0,0.0,0.0,0.0,1099.0,1099.0,1099.0,1197.0,0.0,-98.0,0.0,35,-3,32,13,13,True,销售/换货/退货现金回款（含道具）
2025-05-27,952.0,0.0,952.0,0.0,0.0,0.0,952.0,952.0,952.0,952.0,0.0,0.0,0.0,18,0,18,7,7,True,销售/换货/退货现金回款（含道具）
2025-05-28,1880.0,0.0,1880.0,382.0,0.0,382.0,2262.0,2262.0,2262.0,2262.0,0.0,0.0,0.0,30,0,30,16,17,True,销售/换货/退货现金回款（含道具）
2025-05-29,1939.01,-169.01,1770.0,0.0,0.0,0.0,1770.0,1770.0,1770.0,1769.0,1.0,0.0,0.0,24,-1,23,10,10,True,销售/换货/退货现金回款（含道具）
2025-05-30,1977.0,0.0,1977.0,0.0,0.0,0.0,1977.0,1977.0,1977.0,1977.0,0.0,0.0,0.0,35,0,35,13,13,True,销售/换货/退货现金回款（含道具）
2025-05-31,4315.0,-129.0,4186.0,0.0,0.0,0.0,4186.0,4186.0,4186.0,4186.0,0.0,0.0,0.0,38,-1,37,15,15,True,销售/换货/退货现金回款（含道具）
2025-06-01,2270.0,0.0,2270.0,0.0,0.0,0.0,2270.0,2270.0,2270.0,2270.0,0.0,0.0,0.0,22,0,22,11,11,True,销售/换货/退货现金回款（含道具）
2025-06-02,3949.0,-366.0,3583.0,0.0,0.0,0.0,3583.0,3583.0,3583.0,3731.0,0.0,-148.0,0.0,44,-2,42,20,20,True,销售/换货/退货现金回款（含道具）
2025-06-03,490.0,0.0,490.0,0.0,0.0,0.0,490.0,490.0,490.0,490.0,0.0,0.0,0.0,6,0,6,4,4,True,销售/换货/退货现金回款（含道具）
2025-06-04,1062.0,0.0,1062.0,0.0,0.0,0.0,1062.0,1062.0,1062.0,1062.0,0.0,0.0,0.0,20,0,20,7,7,True,销售/换货/退货现金回款（含道具）
2025-06-05,1549.0,-233.0,1316.0,0.0,0.0,0.0,1316.0,1316.0,1316.0,1316.0,0.0,0.0,0.0,25,-2,23,11,11,True,销售/换货/退货现金回款（含道具）
2025-06-06,1766.0,-122.0,1644.0,0.0,0.0,0.0,1644.0,1644.0,1644.0,1766.0,0.0,-122.0,0.0,23,-2,21,13,13,True,销售/换货/退货现金回款（含道具）
2025-06-07,3934.0,0.0,3934.0,0.0,0.0,0.0,3934.0,3934.0,3934.0,3934.0,0.0,0.0,0.0,54,0,54,17,17,True,销售/换货/退货现金回款（含道具）
2025-06-08,2167.34,-91.34,2076.0,0.0,0.0,0.0,2076.0,2076.0,2076.0,2076.0,0.0,0.0,0.0,27,-1,26,12,12,True,销售/换货/退货现金回款（含道具）
2025-06-09,1816.0,0.0,1816.0,0.0,0.0,0.0,1816.0,1816.0,1816.0,1816.0,0.0,0.0,0.0,16,0,16,8,8,True,销售/换货/退货现金回款（含道具）
2025-06-10,644.0,0.0,644.0,0.0,0.0,0.0,644.0,644.0,644.0,644.0,0.0,0.0,0.0,10,0,10,2,2,True,销售/换货/退货现金回款（含道具）
2025-06-11,750.0,0.0,750.0,0.0,0.0,0.0,750.0,750.0,750.0,750.0,0.0,0.0,0.0,13,0,13,6,6,True,销售/换货/退货现金回款（含道具）
2025-06-12,919.0,0.0,919.0,0.0,0.0,0.0,919.0,919.0,919.0,919.0,0.0,0.0,0.0,17,0,17,8,8,True,销售/换货/退货现金回款（含道具）
2025-06-13,1964.0,0.0,1964.0,0.0,0.0,0.0,1964.0,1964.0,1964.0,1964.0,0.0,0.0,0.0,20,0,20,10,10,True,销售/换货/退货现金回款（含道具）
2025-06-14,1170.0,0.0,1170.0,0.0,0.0,0.0,1170.0,1170.0,1170.0,1170.0,0.0,0.0,0.0,17,0,17,7,7,True,销售/换货/退货现金回款（含道具）
2025-06-15,1794.0,0.0,1794.0,0.0,0.0,0.0,1794.0,1794.0,1794.0,1794.0,0.0,0.0,0.0,31,0,31,11,11,True,销售/换货/退货现金回款（含道具）
2025-06-16,1334.0,0.0,1334.0,0.0,0.0,0.0,1334.0,1334.0,1334.0,1334.0,0.0,0.0,0.0,16,0,16,6,6,True,销售/换货/退货现金回款（含道具）
2025-06-17,2063.02,-490.02,1573.0,0.0,0.0,0.0,1573.0,1573.0,1573.0,1969.0,5.0,-401.0,0.0,32,-6,26,12,12,True,销售/换货/退货现金回款（含道具）
2025-06-18,1618.0,0.0,1618.0,0.0,0.0,0.0,1618.0,1618.0,1618.0,1618.0,0.0,0.0,0.0,16,0,16,6,6,True,销售/换货/退货现金回款（含道具）
2025-06-19,1608.0,-216.0,1392.0,0.0,0.0,0.0,1392.0,1392.0,1392.0,1608.0,0.0,-216.0,0.0,24,-3,21,10,10,True,销售/换货/退货现金回款（含道具）
2025-06-20,1692.0,-129.0,1563.0,0.0,0.0,0.0,1563.0,1563.0,1563.0,1563.0,0.0,0.0,0.0,20,-3,17,9,9,True,销售/换货/退货现金回款（含道具）
2025-06-21,2714.0,0.0,2714.0,0.0,0.0,0.0,2714.0,2714.0,2714.0,2714.0,0.0,0.0,0.0,33,0,33,16,16,True,销售/换货/退货现金回款（含道具）
2025-06-22,2793.0,-185.0,2608.0,0.0,0.0,0.0,2608.0,2608.0,2608.0,2608.0,0.0,0.0,0.0,29,-1,28,14,14,True,销售/换货/退货现金回款（含道具）
2025-06-23,1015.0,0.0,1015.0,0.0,0.0,0.0,1015.0,1015.0,1015.0,1015.0,0.0,0.0,0.0,11,0,11,4,4,True,销售/换货/退货现金回款（含道具）
2025-06-24,1219.0,0.0,1219.0,0.0,0.0,0.0,1219.0,1219.0,1219.0,1219.0,0.0,0.0,0.0,13,0,13,6,6,True,销售/换货/退货现金回款（含道具）
2025-06-25,620.0,0.0,620.0,0.0,0.0,0.0,620.0,620.0,620.0,620.0,0.0,0.0,0.0,10,0,10,6,6,True,销售/换货/退货现金回款（含道具）
2025-06-26,1560.0,0.0,1560.0,0.0,0.0,0.0,1560.0,1560.0,1560.0,1560.0,0.0,0.0,0.0,20,0,20,6,6,True,销售/换货/退货现金回款（含道具）
2025-06-27,945.0,-115.0,830.0,0.0,0.0,0.0,830.0,830.0,830.0,945.0,0.0,-115.0,0.0,10,-1,9,7,7,True,销售/换货/退货现金回款（含道具）
2025-06-28,3833.0,-86.0,3747.0,0.0,0.0,0.0,3747.0,3747.0,3747.0,3747.0,0.0,0.0,0.0,48,-2,46,15,15,True,销售/换货/退货现金回款（含道具）
2025-06-29,3060.0,0.0,3060.0,0.0,0.0,0.0,3060.0,3060.0,2312.0,3060.0,0.0,0.0,0.0,36,0,36,11,11,True,销售/换货/退货现金回款（含道具）
2025-06-30,1365.0,-724.0,641.0,0.0,0.0,0.0,641.0,641.0,641.0,1365.0,0.0,-724.0,0.0,16,-8,8,7,7,True,销售/换货/退货现金回款（含道具）
2025-07-01,1443.0,0.0,1443.0,0.0,0.0,0.0,1443.0,1443.0,1443.0,1443.0,0.0,0.0,0.0,19,0,19,7,7,True,销售/换货/退货现金回款（含道具）
2025-07-02,1004.0,0.0,1004.0,0.0,0.0,0.0,1004.0,1004.0,1004.0,1004.0,0.0,0.0,0.0,17,0,17,7,7,True,销售/换货/退货现金回款（含道具）
2025-07-03,2023.0,-191.91,1831.09,0.0,0.0,0.0,1831.09,1831.09,1831.09,1767.0,64.09,0.0,0.0,22,-1,21,7,7,True,销售/换货/退货现金回款（含道具）
2025-07-04,1743.01,-327.01,1416.0,0.0,0.0,0.0,1416.0,1416.0,1416.0,1416.0,0.0,0.0,0.0,22,-2,20,7,7,True,销售/换货/退货现金回款（含道具）
2025-07-05,2508.94,-118.94,2390.0,0.0,0.0,0.0,2390.0,2390.0,2390.0,2390.0,0.0,0.0,0.0,26,-1,25,9,9,True,销售/换货/退货现金回款（含道具）
2025-07-06,1327.5,-84.5,1243.0,0.0,0.0,0.0,1243.0,1243.0,1243.0,1243.0,0.0,0.0,0.0,23,-1,22,12,12,True,销售/换货/退货现金回款（含道具）
2025-07-07,887.0,0.0,887.0,0.0,0.0,0.0,887.0,887.0,887.0,887.0,0.0,0.0,0.0,12,0,12,4,4,True,销售/换货/退货现金回款（含道具）
2025-07-08,830.0,0.0,830.0,0.0,0.0,0.0,830.0,830.0,830.0,830.0,0.0,0.0,0.0,12,0,12,4,4,True,销售/换货/退货现金回款（含道具）
2025-07-09,558.0,0.0,558.0,0.0,0.0,0.0,558.0,558.0,558.0,558.0,0.0,0.0,0.0,5,0,5,4,4,True,销售/换货/退货现金回款（含道具）
2025-07-10,2732.0,0.0,2732.0,0.0,0.0,0.0,2732.0,2732.0,2732.0,2732.0,0.0,0.0,0.0,27,0,27,7,7,True,销售/换货/退货现金回款（含道具）
2025-07-11,858.13,-311.13,547.0,0.0,0.0,0.0,547.0,547.0,547.0,725.0,0.0,-178.0,0.0,10,-2,8,6,6,True,销售/换货/退货现金回款（含道具）
2025-07-12,1711.0,0.0,1711.0,0.0,0.0,0.0,1711.0,1711.0,1711.0,1711.0,0.0,0.0,0.0,17,0,17,6,6,True,销售/换货/退货现金回款（含道具）
2025-07-13,2342.25,-417.25,1925.0,0.0,0.0,0.0,1925.0,1925.0,1520.0,1925.0,0.0,0.0,0.0,23,-3,20,13,13,True,销售/换货/退货现金回款（含道具）
2025-07-14,1338.0,-95.0,1243.0,0.0,0.0,0.0,1243.0,1243.0,1243.0,1243.0,0.0,0.0,0.0,10,-1,9,7,7,True,销售/换货/退货现金回款（含道具）
2025-07-15,1780.0,0.0,1780.0,0.0,0.0,0.0,1780.0,1780.0,1780.0,1780.0,0.0,0.0,0.0,19,0,19,6,6,True,销售/换货/退货现金回款（含道具）
2025-07-16,493.0,0.0,493.0,0.0,0.0,0.0,493.0,493.0,493.0,493.0,0.0,0.0,0.0,9,0,9,5,5,True,销售/换货/退货现金回款（含道具）
2025-07-17,1665.08,-90.08,1575.0,0.0,0.0,0.0,1575.0,1575.0,1575.0,1575.0,0.0,0.0,0.0,23,-1,22,9,9,True,销售/换货/退货现金回款（含道具）
2025-07-18,1703.0,0.0,1703.0,0.0,0.0,0.0,1703.0,1703.0,1703.0,1703.0,0.0,0.0,0.0,15,0,15,7,7,True,销售/换货/退货现金回款（含道具）
2025-07-19,2384.63,-170.63,2214.0,0.0,0.0,0.0,2214.0,2214.0,2214.0,2214.0,0.0,0.0,0.0,27,-1,26,10,10,True,销售/换货/退货现金回款（含道具）
2025-07-20,1155.0,0.0,1155.0,0.0,0.0,0.0,1155.0,1155.0,1155.0,1155.0,0.0,0.0,0.0,10,0,10,4,4,True,销售/换货/退货现金回款（含道具）
2025-07-21,1036.0,0.0,1036.0,0.0,0.0,0.0,1036.0,1036.0,1036.0,1036.0,0.0,0.0,0.0,19,0,19,7,7,True,销售/换货/退货现金回款（含道具）
2025-07-22,496.0,0.0,496.0,0.0,0.0,0.0,496.0,496.0,496.0,496.0,0.0,0.0,0.0,7,0,7,3,3,True,销售/换货/退货现金回款（含道具）
2025-07-23,72.0,0.0,72.0,0.0,0.0,0.0,72.0,72.0,72.0,72.0,0.0,0.0,0.0,2,0,2,2,2,True,销售/换货/退货现金回款（含道具）
2025-07-24,1418.0,0.0,1418.0,0.0,0.0,0.0,1418.0,1418.0,1418.0,1418.0,0.0,0.0,0.0,14,0,14,7,7,True,销售/换货/退货现金回款（含道具）
2025-07-25,1446.18,-63.18,1383.0,0.0,0.0,0.0,1383.0,1383.0,1383.0,1383.0,0.0,0.0,0.0,17,-1,16,9,9,True,销售/换货/退货现金回款（含道具）
2025-07-26,1824.0,0.0,1824.0,0.0,0.0,0.0,1824.0,1824.0,1824.0,1824.0,0.0,0.0,0.0,23,0,23,11,11,True,销售/换货/退货现金回款（含道具）
2025-07-27,1381.0,0.0,1381.0,0.0,0.0,0.0,1381.0,1381.0,1381.0,1381.0,0.0,0.0,0.0,23,0,23,9,9,True,销售/换货/退货现金回款（含道具）
2025-07-28,771.26,-140.26,631.0,0.0,0.0,0.0,631.0,631.0,631.0,631.0,0.0,0.0,0.0,15,-3,12,4,4,True,销售/换货/退货现金回款（含道具）
2025-07-29,1656.0,0.0,1656.0,0.0,0.0,0.0,1656.0,1656.0,1656.0,1656.0,0.0,0.0,0.0,20,0,20,10,10,True,销售/换货/退货现金回款（含道具）
2025-07-30,985.0,0.0,985.0,0.0,0.0,0.0,985.0,985.0,985.0,985.0,0.0,0.0,0.0,8,0,8,5,5,True,销售/换货/退货现金回款（含道具）
2025-07-31,1088.0,0.0,1088.0,0.0,0.0,0.0,1088.0,1088.0,1088.0,1088.0,0.0,0.0,0.0,8,0,8,5,5,True,销售/换货/退货现金回款（含道具）
2025-08-01,1383.0,0.0,1383.0,0.0,0.0,0.0,1383.0,1383.0,1383.0,1383.0,0.0,0.0,0.0,20,0,20,9,9,True,销售/换货/退货现金回款（含道具）
2025-08-02,2712.0,-1074.0,1638.0,0.0,0.0,0.0,1638.0,1638.0,1638.0,2712.0,0.0,-1074.0,0.0,19,-6,13,9,9,True,销售/换货/退货现金回款（含道具）
2025-08-03,1010.0,0.0,1010.0,0.0,0.0,0.0,1010.0,1010.0,1010.0,1010.0,0.0,0.0,0.0,17,0,17,10,10,True,销售/换货/退货现金回款（含道具）
